Name,Username
Assembleia de Deus Nova Vida,adnvmoradadelaranjeirasoficial
Décio Lima,deciolima
Senador Beto Faro,betofaro131
Administradores,administradores
Dani Azevedo,daniazevedo.oliver
Spartakus,spartakus
Resumo PB,portalresumopb
Emerson Freitas,efreitasofc
Foracorruptos Oficial,foracorruptosoficial
Jorge Samek,jorgesamek
Direita Minas Patrocínio,direitaminaspatrocinio
Dr. Carlos Felipe,drcarlosfelipe_
Roteirices,roteirices_podcast
cantorEmanuellopes,cantoremanuellopes
Carla Cecato,carlacecato
Wadson Ribeiro,wadsonribeiromg
🄵🄴🅁🄽🄰🄽🄳🄾 🄷🄰🄳🄳🄰🄳,voltahaddad
Aliados Brasil Oficial,aliadosbrasiloficial
Pollyanna,pollyannadutraoficial
Alex Ferreyra,flamengoorgulhoap
A Voz do Brasil~Oficial,avozdobrasiloficial
Y A G O,yagosantana07
Site Avoador,siteavoador
C O R O N E L  A G I N A L D O,coronel_aginaldo
𝐃𝐀𝐕𝐈𝐃 𝐋𝐀𝐌𝐄𝐐𝐔𝐄,david_lameque
Monstro do S.A,luquinhasxv
Anderson Martins,opaigeeks
HPBR,hpbrazil
Anápolis Notícias Oficial,anapolis.noticias_
Wembley Beim,beimoficial
João Paulo ⭐️,joaopaulodopt
Rodrigo Vilasbôas,rodrigo.vilasboas
Guilherme Schneider ⭐,gui_riff
Luciano Dami,lucianodami
Gui Monteiro,luis_guilherme
Deolane Bezerra,dra_deolane_oficial
Emidio de Souza,emidiodesouzaoficial
Ari Bagúio,aribaguio
Kerexu,kerexu_oficial
ALDA IVANA  SILVÉRIO,alda_ivana_silverio_
Danilo Mesquita 🇧🇷,danilo_mesquita
Holanda Cavalcanti,holandacavalcanti
Fábio K. Guimarães,fabiokguimaraes
Chico Alencar,chico.alencar
União justicialista,uniaojusticialista
Deputado Estadual Luiz Fernando,luizfernandopt13
Pedro Júnior,pedrojunior87
Jhonatas Monteiro,jhonataspsol
Manu Jacob,manujacobpsol
Kiusam de Oliveira,mskiusam
opiniãoce | NOTÍCIAS,opiniaoce
Oxente Bar e Petiscaria,oxentebarepetiscaria
Super Rádio Tupi,radiotupi
Célio Studart,celiostudart
Alan Rick,alanrickm
GABI,elitedagabi
Ismael Brasilino,brasilinobp
Eduardo Cunha,deputadoeduardocunha
Sivaldo Albino,sivaldoalbino40
Elvino Bohn Gass,bohn_gass
Pr. Lucinho,prlucinho
Direita Minas,direitaminas
Vale PCD,pcdvale
Frederico d'Avila,fredericodavilaoficial
Tadeu Veneri,tadeuveneri
Basqueteiros,basqueteirosnba
Mulheres do Agronegócio de Alagoas,mulheresdoagroalagoas
André Schmidt,andre.quizomba
🅼🅾🅽🆂🆃🆁🅾🆂 🅴 🅼🆄🆂🅰🆂,monstrosemusas
The Handmaid's Tale Brasil,handmaidsbrasil
PT de Caxias do Sul,ptcaxiasdosul
Poze Do Rodo 🤑 🔵,pozedorodo_0fc
Roberta Di Angellis 🎙,robertadiangellis
Apoiadores do Bolsonaro Terê,apoiadoresbolsonaroteresopolis
Alexandre Garcia Apoio,alexandre_garcia1.0
Palpites Green,palpitesgreen
Cleber Rangel,cvrangel
Samara Castro,samaramcastro
Tarcísio Motta,tarcisiomottapsol
Tamires Sampaio,soutamires.sp
Jade Romero | Vice-governadora do Ceará,jaderomero
Capitão Alberto Neto,capitaoalbertoneto
PT RJ,ptrj13
Márcia Fervienza,marciafervienza
Patricia Alonso Advogada,drapatriciaalonso_
Bruna Justino-Influencer🇧🇷,brujustinno
Sempre Escrevo | SOCIAL CULTURA & ARTE,sempreescrevo
Evair de Melo,evair_de_melo
Xuxa Meneghel,enxiclopediax
Edmarcy ✅,edmarcy
Hotel Pousada Ourinhos,hotelpousadaourinhos
Vivi Reis,vivireispsol
DOL - Diário Online,doldiarioonline
Augusto de Arruda Botelho,augustodearrudabotelho
👸🏾⭐️PATRICIA RAMMOS c/ 2M ⭐️👸🏾,patriciarammos
Diego Mesquita 🤎🌻🏳‍🌈🏳️‍⚧️,diegodosuburbio
Páblo Lima,opablolima
Renata Souza,renatasouzario
Gazeta do Povo,gazetadopovo
Sinésio Campos,sinesiocamposam
Salcy Lima,salcylima
